service_name,service_slug,plane_domain,product_role,internal_or_external,runtime_deployment_required,deployed_preview,running_preview,surfaced_shell,surfaced_mobile,bff_downstream,keycloak_trust,required_roles,required_context,main_routes,main_apis,events_topics,dependencies,health_endpoint,test_scenarios_required,current_maturity,current_blockers,required_fixes,preview_testability_dod
Citizen App,citizen-app,experience/mobile,mobile_app,internal vNext,NO (build_validate_only),N/A,N/A,mobile artifact lane,YES (mobile app),N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Civil Registry System,civil-registry-system,registry_spine/registry,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Clinical Knowledge Platform,clinical-knowledge-platform-service,clinical/clinical-knowledge,Clinical Knowledge Platform canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8270,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Community,community-service,experience/workflow-orchestration,Community canonical records,internal vNext,YES,YES,YES,False,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service; multiple-domain-services-via-bff,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Connector FHIR,connector-fhir-adapter,integration/interoperability,Connector Fhir Adapter canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8151,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Contract Tests,contract-tests,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Costa Console,costa-console,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
COSTA,costing-engine-service,enterprise/finance,Costing Engine canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8101,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Coverage,coverage-service,enterprise/finance,Coverage canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8140,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Credential Verification,credential-verification-service,enterprise/finance,Credential Verification canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8094,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
DAGS,data-access-governance-service,data/intelligence,Data Access Governance canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8170,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Data Governance,data-governance-service,data/intelligence,Data Governance canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8220,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Data Ingestion,data-ingestion-service,data/intelligence,Data Ingestion canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8210,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Data Pipeline,data-pipeline-service,data/intelligence,Data Pipeline canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8215,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Data Warehouse,data-warehouse-service,data/intelligence,Data Warehouse canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8233,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Developer Console,developer-console,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Developer Portal,developer-portal-service,integration/platform-ops,Developer Portal canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8370,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Dhis2,dhis2,integration/data,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Dispatch,dispatch-service,integration/platform-ops,Dispatch canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8320,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Document Store,document-service,clinical/care-delivery,Document canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8093,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Ehr,ehr,experience/ui-workspace,frontend_app,internal vNext,NO (doctrine_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,unknown,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Envoy,envoy,trust/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Experience BFF,experience-bff,experience/workflow-orchestration,Experience Bff canonical records,internal vNext,YES,NO,NO,True,N/A,N/A,service account (impilo-bff),role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8160,event_outbox per service doctrine,tshepo-authz-service; multiple-domain-services-via-bff,/actuator/health,UAT workbook row required per service,blocked: not deployed,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
External Elmis,external-elmis,integration/supply,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
External Idp,external-idp,trust_governance/assurance,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
External Pacs Network,external-pacs-network,integration/integration,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Federation Connector,federation-connector,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
FHIR Gateway,fhir-gateway-service,clinical/care-delivery,Fhir Gateway canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8091,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Forms,forms-service,clinical/clinical-knowledge,Forms canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8240,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
General Ledger,general-ledger-service,enterprise/enterprise-resource,General Ledger canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Guidance,guidance-service,clinical/clinical-knowledge,Guidance canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8260,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Hapi Fhir,hapi-fhir,clinical/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Hr Payroll,hr-payroll-service,enterprise/enterprise-resource,Hr Payroll canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Identity Assurance,identity-assurance-service,trust/identity-governance,Identity Assurance canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8201,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
INDAWO,indawo-service,registry/registry-spine,Indawo canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8150,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Inpatient,inpatient-service,clinical/care-delivery,Inpatient canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8121,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Integration Hub,integration-hub,integration/interoperability,Integration Hub canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8110,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Inventory eLMIS,inventory-elmis-adapter,clinical/care-delivery,Inventory Elmis Adapter canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8108,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Inventory,inventory-service,clinical/care-delivery,Inventory canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8098,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Inventory Web,inventory-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
IoT Ingestion,iot-ingestion-service,integration/platform-ops,Iot Ingestion canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8330,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Jobs,jobs-service,integration/interoperability,Jobs canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8109,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Kafka,kafka,integration/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Keycloak,keycloak,trust/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Knowledge Admin,knowledge-admin,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
