journeyId,journeyName,initiatingActor,respondingActor,transactionObject,context,entryPoint,startState,steps,backendServices,apis,frontendRoutes,mobileScreens,dataReadWritten,eventsEmitted,trustSecurityChecks,auditRequirements,completionState,currentImplementationStatus,missingBackendWork,missingFrontendMobileWork,relatedJourneys,productOwnerAcceptanceTest,coreTransactionType,lifecycleStage,completionClassification
"lab-order-result","Lab Order & Result","provider","oros-service","Lab Order ID + Result ID","encounter ancillary","/ehr/[patientId]/orders","ORDERS_PENDING","order lab → acknowledge → result → review → chart update","oros-service; pct-service; butano-service; experience-bff","/internal/v1/lab-orders/*, /internal/v1/orders, /v1/orders","/ehr/[patientId]/orders; /ehr/[patientId]/results; /lab; /lab/catalog; /lab/reconciliation; /lab/results; /lab/worklist","apps/mobile/provider-app/src/screens/provider/LabHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabOrderPanel.tsx; apps/mobile/provider-app/src/screens/provider/ResultsViewScreen.tsx","orders; results; SHR contribution","finance-oros-pharmacy; core.transaction.events","order authz; result visibility","order/result audit","PENDING_RESULT","wired","","","provider-patient-encounter; outpatient-consultation; imaging-order-result","Lab ordered and result returned to provider worklist","LABORATORY","ORDERS_AND_ANCILLARY","transaction-complete"
"imaging-order-result","Imaging Order & Result","provider","pacs-adapter-service","Imaging study + report","radiology/imaging unit","/ehr/[patientId]/imaging","ORDERS_PENDING","order imaging → PACS retrieve → viewer → report","pacs-adapter-service; oros-service; document-service; experience-bff","/internal/v1/imaging/*, /internal/v1/pacs/*","/ehr/[patientId]; /ehr/[patientId]/advance-directives; /ehr/[patientId]/allergies; /ehr/[patientId]/assessments; /ehr/[patientId]/care-plans; /ehr/[patientId]/care-team; /ehr/[patientId]/charts; /ehr/[patientId]/conditions; /ehr/[patientId]/consults; /ehr/[patientId]/discharge; /ehr/[patientId]/documents; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters; /ehr/[patientId]/family-history; /ehr/[patientId]/functional-status; /ehr/[patientId]/goals; /ehr/[patientId]/growth-chart; /ehr/[patientId]/history; /ehr/[patientId]/imaging; /ehr/[patientId]/imaging/viewer; /ehr/[patientId]/immunizations; /ehr/[patientId]/ips; /ehr/[patientId]/maternity; /ehr/[patientId]/medications; /ehr/[patientId]/notes; /ehr/[patientId]/orders; /ehr/[patientId]/preferences/communications; /ehr/[patientId]/procedures; /ehr/[patientId]/referrals; /ehr/[patientId]/results; /ehr/[patientId]/social-history; /ehr/[patientId]/summary; /ehr/[patientId]/teleconsults; /ehr/[patientId]/timeline; /ehr/[patientId]/vitals","apps/mobile/provider-app/src/screens/provider/PACSViewerScreen.tsx","imaging metadata; DICOM refs; audit","imaging-pipeline","imaging access audit; CPID-only SHR","PACS access audit","COMPLETED","wired","","","lab-order-result; document-upload","Imaging study visible in viewer with audit trail","IMAGING","ORDERS_AND_ANCILLARY","transaction-complete"
"prescription-dispense","Prescription & Dispense","provider","pharmacy-service","Prescription ID","pharmacy workspace","/ehr/[patientId]/medications","ORDERS_PENDING","prescribe → verify → dispense → patient instructions","pharmacy-service; pct-service; zibo-service; experience-bff","/internal/v1/pharmacy/*","/ehr/[patientId]/medications; /pharmacy; /pharmacy/dispense; /pharmacy/prescriptions; /pharmacy/stock; /pharmacy/transaction-journey","apps/mobile/provider-app/src/screens/provider/PrescriptionPanel.tsx","prescription; dispense events","core.transaction.events; finance-oros-pharmacy","prescribing privileges; formulary","prescribing audit","COMPLETED","wired","","","outpatient-consultation; lab-order-result","Prescription created, dispensed, visible in patient meds","PHARMACY","ORDERS_AND_ANCILLARY","transaction-complete"
"referral-create","Referral Create & Manage","provider","pct-service","Referral ID","inter-facility or specialist routing","/ehr/[patientId]/referrals","INITIATED","create referral → route → accept → complete","pct-service; referral-service; tuso-service; varapi-service; experience-bff","/internal/v1/referrals/*","/ehr/[patientId]/referrals; /queue/incoming-referrals","apps/mobile/provider-app/src/screens/provider/ReferralPanel.tsx","referral state; routing metadata","core.transaction.events","referral authz; routing validation","referral audit","REFERRED_OUT","wired","","","telemedicine-encounter; appointment-scheduling","Referral created, routed, visible at destination facility","REFERRAL","FOLLOW_UP_CONTINUITY","transaction-complete"
"appointment-scheduling","Appointment Scheduling","citizen","scheduling-service","Appointment ID","facility booking","/queue/scheduled","SCHEDULED","find slot → book → confirm → remind → check-in","scheduling-service; tuso-service; notification-service; experience-bff","/internal/v1/appointments/*, /internal/v1/scheduling/*","/queue/scheduled; /scheduling; /scheduling/booking-requests; /scheduling/bookings/config; /scheduling/noticeboard; /scheduling/on-call; /scheduling/roster; /scheduling/today","apps/mobile/citizen-app/src/screens/personal/AppointmentsSection.tsx; apps/mobile/provider-app/src/screens/provider/ScheduleScreen.tsx","appointment; booking slots","appointment.booked","booking permissions","scheduling audit","SCHEDULED","partial","","","queue-walk-in; citizen-onboarding","Appointment booked and appears in facility schedule","APPOINTMENT","SCHEDULING_OR_QUEUE","transaction-complete"
"consent-capture","Consent Capture","citizen","mvumo-service","Consent directive","care, telehealth, data sharing","/consent","TRUST_CONTEXT_ESTABLISHED","present policy → capture consent → store directive → enforce","mvumo-service; tshepo-consent-service; experience-bff","/internal/v1/consent/*, /internal/v1/mvumo/*","/admin/consent; /consent; /registry/mvumo; /settings; /settings/account; /settings/display; /settings/integrations; /settings/notifications; /settings/privacy; /settings/security","apps/mobile/citizen-app/src/screens/personal/PatientConsentScreen.tsx","consent directives; mvumo records","trust-governance; core.transaction.events","consent evaluation; purpose-of-use","consent audit mandatory","TRUST_CONTEXT_ESTABLISHED","wired","","remote-session admin depth","telemedicine-encounter; citizen-onboarding","Consent captured, enforced on subsequent clinical access","ADMINISTRATIVE_HEALTH","TRUST_AND_CONSENT","transaction-complete"
"payment-billing-claim","Payment / Billing / Exemption / Claim","citizen","costing-engine-service","Invoice / Claim / Payment","encounter billing or coverage","/finance","FINANCIAL_PROCESSING","estimate → coverage check → pay/exempt → claim → remittance","costing-engine-service; mushex-service; coverage-service; mushe-wallet-service; experience-bff","/internal/v1/finance/*, /internal/v1/coverage/*, /internal/v1/wallet/*","/coverage; /finance; /finance/billing; /finance/billing/[id]; /finance/claims; /finance/claims/[id]; /finance/commerce-integrations; /finance/costa; /finance/costa/encounter/[encounterId]; /finance/ledger; /finance/msika-governance; /finance/mushex-platform; /finance/mushex-platform/cards/[cardId]; /finance/mushex-platform/remittance/[transferId]; /finance/mushex-platform/reversals/[reversalId]; /finance/mushex-platform/wallets/[walletId]; /finance/my-account; /finance/payer-claims; /finance/payer-claims/[claimId]; /finance/payer-ops; /finance/payments; /finance/reconciliation; /finance/refunds; /finance/remittances; /finance/reports; /finance/settlements; /finance/tariffs; /finance/workspace","apps/mobile/citizen-app/src/screens/personal/FinanceSection.tsx; apps/mobile/citizen-app/src/screens/personal/WalletSection.tsx; apps/mobile/provider-app/src/screens/provider/BillingScreen.tsx; apps/mobile/provider-app/src/screens/provider/FinanceOverviewScreen.tsx","billing; claims; payments; remittance","core.transaction.events; finance-oros-pharmacy","financial authz; purpose-of-use","financial audit chain","COMPLETED","partial","long-tail finance routes","","wallet-payment; coverage-enrollment","Bill generated, payment or claim completed with audit","ADMINISTRATIVE_HEALTH","FINANCIAL_SETTLEMENT","transaction-complete"
"document-upload","Document Upload / Scan / Index","provider","document-service","Document ID","clinical or administrative record","/ehr/[patientId]/documents","DRAFT","upload → index → attach to encounter → retrieve","document-service; landela-adapter-service; experience-bff","/internal/v1/clinical-documents/*, /internal/v1/documents/*","/ehr/[patientId]/documents","apps/mobile/citizen-app/src/screens/personal/ClaimSharedDocumentsScreen.tsx","document metadata; storage refs","document-store","document access authz","document access audit","COMPLETED","partial","scanning pipeline depth","indexing UX partial vs document-service","imaging-order-result; provider-patient-encounter","Document uploaded, indexed, retrievable in chart","ADMINISTRATIVE_HEALTH","RECORD_CONTRIBUTION","transaction-complete"
"dispatch-delivery","Dispatch / Delivery (NHUME)","courier","dispatch-service","Delivery run / order fulfilment","logistics; medication or supply delivery","/operations/dispatch","TASKED","assign run → navigate → deliver → confirm → reconcile","dispatch-service; nhume-service; oros-service; experience-bff","/internal/v1/dispatch/*, /internal/v1/nhume/*","/nhume; /nhume/analytics; /nhume/autonomous; /nhume/courier; /nhume/couriers; /nhume/couriers/[courierId]; /nhume/custody/[deliveryId]; /nhume/dashboard; /nhume/deliveries; /nhume/deliveries/[deliveryId]; /nhume/deliveries/new; /nhume/dispatcher; /nhume/fleet; /nhume/fleet/[assetId]; /nhume/map; /nhume/policies; /nhume/track/[deliveryId]; /operations/dispatch","apps/mobile/provider-app/src/screens/courier/CourierDashboardScreen.tsx; apps/mobile/provider-app/src/screens/courier/CourierProofScreen.tsx","delivery runs; proof of delivery","dispatch.*","courier role; route authz","delivery audit","COMPLETED","partial","dual nhume vs dispatch BFF path","dispatch detail + offline queue UX","marketplace-order; notification-comms","Courier completes delivery run with POD","MARKETPLACE","INSTRUCTIONS_AND_NOTIFICATIONS","backend-partial"
"notification-comms","Notification & Communications","platform","notification-service","Notification / message","omnichannel comms hub","/communication","INITIATED","compose → send → deliver → track → feedback","notification-service; channels-service; community-service; experience-bff","/internal/v1/notifications/*, /internal/v1/communication/*, /internal/v1/omnichannel/*","/communication; /communication/secure-messaging; /omnichannel","apps/mobile/citizen-app/src/screens/messaging/MessagingInboxScreen.tsx; apps/mobile/citizen-app/src/screens/messaging/ThreadViewScreen.tsx; apps/mobile/provider-app/src/screens/provider/MessagingScreen.tsx","notification store; delivery status","notification.sent","comms authz; consent for outreach","comms audit","COMPLETED","wired","template/campaign admin depth","","consent-capture; appointment-scheduling","Notification sent and delivery status visible","ADMINISTRATIVE_HEALTH","INSTRUCTIONS_AND_NOTIFICATIONS","transaction-complete"
"fundo-learning","Fundo / Learning Journey","provider","learning-service","Enrolment / competency record","professional development","/learning","INITIATED","browse catalog → enrol → complete assessment → CPD credit","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","/learning; /learning/admin; /learning/admin/assessments; /learning/admin/assessments/[assessmentId]/edit; /learning/admin/assessments/new; /learning/admin/courses; /learning/admin/courses/[courseId]/edit; /learning/admin/courses/new; /learning/admin/pathways; /learning/admin/pathways/[pathwayId]/edit; /learning/admin/pathways/new; /learning/assessments/[assessmentId]; /learning/assessments/[assessmentId]/attempt; /learning/attempts/[attemptId]; /learning/catalog; /learning/certificates; /learning/certificates/[certificateId]; /learning/courses/[courseId]; /learning/cpd; /learning/enrolments/[enrolmentId]; /learning/enrolments/[enrolmentId]/lessons/[lessonId]; /learning/feedback/course/[courseId]; /learning/library; /learning/library/[resourceId]; /learning/library/resources; /learning/library/uploads; /learning/my-learning; /learning/notifications; /learning/pathways; /learning/pathways/[pathwayId]; /learning/record; /learning/reports; /learning/reports/assessments; /learning/reports/cohorts; /learning/reports/courses; /learning/reports/overdue; /learning/studio; /learning/studio/ai; /learning/studio/analytics; /learning/studio/assessments; /learning/studio/courses; /learning/studio/courses/[courseId]; /learning/studio/courses/[courseId]/builder; /learning/studio/courses/new; /learning/studio/library; /learning/studio/media; /learning/studio/media/[mediaId]; /learning/studio/media/recordings; /learning/studio/media/scripts; /learning/studio/media/voiceovers; /learning/studio/publish; /learning/studio/surveys; /learning/surveys/[surveyId]; /learning/surveys/[surveyId]/respond","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","enrolments; assessments; CPD","learning.completed","provider identity for CPD","competency audit","COMPLETED","partial","","mobile learning shell shallow","provider-login; credential-verification","Provider enrols, completes module, CPD reflected","TRAINING_OR_COMPETENCY","SERVICE_SELECTION","backend-ready-but-frontend-incomplete"
