surfaceType,surfaceId,actorType,actorRole,context,intent,transaction,journeyId,servicesInvolved,apisInvolved,registriesInvolved,trustSecurityChecks,dataRecords,eventTopics,uiSurface,mobileSurface,nompiloSupport,relatedFeatures,nextActions,completionCriteria,doctrineCompliance,orchestrationStatus,sourcePath,apiClientHook
"frontend-route","/auth/register/assurance","citizen","person","self-service registration; assurance level pending","Identity Assurance","ADMINISTRATIVE_HEALTH:Citizen / Client Onboarding","citizen-onboarding","vito-service; tshepo-identity-service; identity-assurance-service; tshepo-consent-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/*, /internal/v1/vito/*","vito-service","TSHEPO session; identity assurance; consent","VITO clients; identity issuance; consent directives","identity.issued; core.transaction.events","/auth/register/assurance","apps/mobile/citizen-app/src/screens/personal/HealthIdSection.tsx; apps/mobile/citizen-app/src/screens/personal/ProfileSection.tsx","expected","consent-capture; health-id-issuance","consent review","Citizen completes registration, receives Health ID, sees next-step guidance","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/auth/register/assurance/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/register/status","citizen","person","self-service registration; assurance level pending","Registration Status","ADMINISTRATIVE_HEALTH:Citizen / Client Onboarding","citizen-onboarding","vito-service; tshepo-identity-service; identity-assurance-service; tshepo-consent-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/*, /internal/v1/vito/*","vito-service","TSHEPO session; identity assurance; consent","VITO clients; identity issuance; consent directives","identity.issued; core.transaction.events","/auth/register/status","apps/mobile/citizen-app/src/screens/personal/HealthIdSection.tsx; apps/mobile/citizen-app/src/screens/personal/ProfileSection.tsx","expected","consent-capture; health-id-issuance","consent review","Citizen completes registration, receives Health ID, sees next-step guidance","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/auth/register/status/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/resolving","provider","person","facility-bound professional capacity","Resolving Session","ADMINISTRATIVE_HEALTH:Provider Login & Role Activation","provider-login","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","varapi-service","ext_authz; step-up; device trust","session; provider registry lookup","auth.session.created","/auth/resolving","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","expected","workspace-context-selection; facility-context-selection","session established","Provider signs in with Provider ID, activates role, lands in workspace","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/auth/resolving/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/privacy","citizen","person","authentication","Privacy Policy","","","experience-bff","","","none","","","/privacy","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/privacy/page.tsx","hooks/queries/usePrivacyPreferences.ts"
"frontend-route","/terms","citizen","person","authentication","Terms of Use","","","experience-bff","","","none","","","/terms","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/terms/page.tsx",""
"frontend-route","/consent","citizen","person","care, telehealth, data sharing","Review Policies","ADMINISTRATIVE_HEALTH:Consent Capture","consent-capture","mvumo-service; tshepo-consent-service; experience-bff","/internal/v1/consent/*, /internal/v1/mvumo/*","","consent evaluation; purpose-of-use","consent directives; mvumo records","trust-governance; core.transaction.events","/consent","apps/mobile/citizen-app/src/screens/personal/PatientConsentScreen.tsx","expected","telemedicine-encounter; citizen-onboarding","enforce","Consent captured, enforced on subsequent clinical access","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/consent/page.tsx","hooks/queries/useConsent.ts"
"frontend-route","/account-deletion","citizen","person","authentication","Account Deletion","","","experience-bff","","","none","","","/account-deletion","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/account-deletion/page.tsx",""
"frontend-route","/privacy/app-stores","citizen","person","authentication","App Store Privacy","","","experience-bff","","","none","","","/privacy/app-stores","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/privacy/app-stores/page.tsx","hooks/queries/usePrivacyPreferences.ts"
"frontend-route","/clinical","provider","clinical-staff","outpatient clinic","Clinical Care","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/core-transaction","provider","clinical-staff","EHR encounter workspace","Core Transaction","FACILITY_WALK_IN:Provider Patient Encounter","provider-patient-encounter","pct-service; butano-service; experience-bff; guidance-service","/internal/v1/encounters/*, /internal/v1/core-transactions/*","","provider capacity; consent; break-glass if emergency","encounter lifecycle; clinical notes; vitals","pct.encounter.*; core.transaction.events","/core-transaction","apps/mobile/provider-app/src/screens/provider/EncounterScreen.tsx","expected","outpatient-consultation; lab-order-result; prescription-dispense","complete encounter","Provider completes encounter end-to-end with real PCT data","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/core-transaction/page.tsx",""
"frontend-route","/client-journey","platform","person","unified transaction spine","Client Journey","FACILITY_WALK_IN:Core Transaction Orchestration Shell","core-transaction-orchestration","experience-bff; workflow-service; pct-service; costing-engine-service","/internal/v1/core-transactions/*, /experience/core-transactions/*","","full trust stack","transaction orchestration state","core.transaction.events","/client-journey","","expected","provider-patient-encounter; payment-billing-claim","complete","Core transaction shell shows live timeline from BFF","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/client-journey/page.tsx",""
"frontend-route","/provider-workspace","platform","clinical-staff","unified transaction spine","Provider Workspace","FACILITY_WALK_IN:Core Transaction Orchestration Shell","core-transaction-orchestration","experience-bff; workflow-service; pct-service; costing-engine-service","/internal/v1/core-transactions/*, /experience/core-transactions/*","","full trust stack","transaction orchestration state","core.transaction.events","/provider-workspace","","expected","provider-patient-encounter; payment-billing-claim","complete","Core transaction shell shows live timeline from BFF","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/provider-workspace/page.tsx",""
"frontend-route","/platform-journey","platform","platform-admin","unified transaction spine","Platform Journey","FACILITY_WALK_IN:Core Transaction Orchestration Shell","core-transaction-orchestration","experience-bff; workflow-service; pct-service; costing-engine-service","/internal/v1/core-transactions/*, /experience/core-transactions/*","","full trust stack","transaction orchestration state","core.transaction.events","/platform-journey","","expected","provider-patient-encounter; payment-billing-claim","complete","Core transaction shell shows live timeline from BFF","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/platform-journey/page.tsx",""
"frontend-route","/clinical-tools","provider","clinical-staff","outpatient clinic","Clinical Tools","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical-tools","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical-tools/page.tsx",""
"frontend-route","/clinical-tools/rules","provider","clinical-staff","outpatient clinic","Rules Engine","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical-tools/rules","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical-tools/rules/page.tsx",""
"frontend-route","/clinical-tools/forms","provider","clinical-staff","outpatient clinic","Form Builder","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical-tools/forms","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","mock-stub","ui/one-ui-shell/src/app/clinical-tools/forms/page.tsx",""
"frontend-route","/clinical/control-tower","provider","clinical-staff","outpatient clinic","Control Tower","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/control-tower","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/control-tower/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/dictation","provider","clinical-staff","outpatient clinic","Voice Dictation","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/dictation","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/dictation/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/emergency","provider","clinical-staff","outpatient clinic","ED / Casualty","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/emergency","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/emergency/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient","provider","clinical-staff","outpatient clinic","Inpatient Care","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient/admissions","provider","clinical-staff","outpatient clinic","Inpatient Admissions","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient/admissions","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/admissions/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient/admissions/[admissionId]","provider","clinical-staff","outpatient clinic","Inpatient Episode","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient/admissions/[admissionId]","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/admissions/[admissionId]/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient/ward-board","provider","clinical-staff","outpatient clinic","Ward Board","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient/ward-board","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/ward-board/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient/nursing","provider","clinical-staff","outpatient clinic","Nursing Workbench","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient/nursing","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/nursing/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient/rounds","provider","clinical-staff","outpatient clinic","Medical Rounds","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient/rounds","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/rounds/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/clinical/inpatient/discharge/[admissionId]","provider","clinical-staff","outpatient clinic","Inpatient Discharge","FACILITY_WALK_IN:Outpatient Consultation","outpatient-consultation","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","","standard clinical authz","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","/clinical/inpatient/discharge/[admissionId]","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","expected","provider-patient-encounter; prescription-dispense","discharge instructions","Outpatient consult documented with vitals, note, and next steps","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/clinical/inpatient/discharge/[admissionId]/page.tsx","hooks/queries/useClinicalCuration.ts"
"frontend-route","/production-command-centre","system-administrator","platform-admin","governance","Production Command Centre","","","experience-bff","","","auth","","","/production-command-centre","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/production-command-centre/page.tsx",""
"frontend-route","/health-os/command-centre","system-administrator","platform-admin","governance","Health OS Command Centre","","","experience-bff","","","auth","","","/health-os/command-centre","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/health-os/command-centre/page.tsx",""
"frontend-route","/data-intelligence","data-analyst","auth","operations or public health intelligence","Data & Intelligence","ADMINISTRATIVE_HEALTH:Data / Report / Dashboard Journey","reporting-dashboard","reporting-service; data-warehouse-service; surveillance-service; experience-bff","/internal/v1/reports/*, /internal/v1/intelligence-plane/*","","reporting RBAC; de-identification","report runs; aggregates","analytics.reporting.aggregate","/data-intelligence","apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx","expected","public-health-outreach; surveillance-outbreak","audit","Analyst runs report with correct scope and audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/data-intelligence/page.tsx",""
"frontend-route","/data-intelligence/quality","data-analyst","auth","operations or public health intelligence","Data Quality","ADMINISTRATIVE_HEALTH:Data / Report / Dashboard Journey","reporting-dashboard","reporting-service; data-warehouse-service; surveillance-service; experience-bff","/internal/v1/reports/*, /internal/v1/intelligence-plane/*","","reporting RBAC; de-identification","report runs; aggregates","analytics.reporting.aggregate","/data-intelligence/quality","apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx","expected","public-health-outreach; surveillance-outbreak","audit","Analyst runs report with correct scope and audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/data-intelligence/quality/page.tsx",""
"frontend-route","/data-intelligence/pipelines","data-analyst","auth","operations or public health intelligence","Data Pipelines","ADMINISTRATIVE_HEALTH:Data / Report / Dashboard Journey","reporting-dashboard","reporting-service; data-warehouse-service; surveillance-service; experience-bff","/internal/v1/reports/*, /internal/v1/intelligence-plane/*","","reporting RBAC; de-identification","report runs; aggregates","analytics.reporting.aggregate","/data-intelligence/pipelines","apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx","expected","public-health-outreach; surveillance-outbreak","audit","Analyst runs report with correct scope and audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/data-intelligence/pipelines/page.tsx",""
"frontend-route","/data-intelligence/integration","data-analyst","auth","operations or public health intelligence","Integration Monitor","ADMINISTRATIVE_HEALTH:Data / Report / Dashboard Journey","reporting-dashboard","reporting-service; data-warehouse-service; surveillance-service; experience-bff","/internal/v1/reports/*, /internal/v1/intelligence-plane/*","","reporting RBAC; de-identification","report runs; aggregates","analytics.reporting.aggregate","/data-intelligence/integration","apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx","expected","public-health-outreach; surveillance-outbreak","audit","Analyst runs report with correct scope and audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/data-intelligence/integration/page.tsx",""
"frontend-route","/data-intelligence/reports","data-analyst","auth","operations or public health intelligence","Reporting Hub","ADMINISTRATIVE_HEALTH:Data / Report / Dashboard Journey","reporting-dashboard","reporting-service; data-warehouse-service; surveillance-service; experience-bff","/internal/v1/reports/*, /internal/v1/intelligence-plane/*","","reporting RBAC; de-identification","report runs; aggregates","analytics.reporting.aggregate","/data-intelligence/reports","apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx","expected","public-health-outreach; surveillance-outbreak","audit","Analyst runs report with correct scope and audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/data-intelligence/reports/page.tsx",""
