journeyId,journeyName,coreTransactionType,classification,implStatus,missingBackend,missingFrontend,backendServices,frontendRouteCount,mobileScreenCount,poAcceptanceTest
"notification-comms","Notification & Communications","ADMINISTRATIVE_HEALTH","transaction-complete","wired","template/campaign admin depth","","notification-service; channels-service; community-service; experience-bff","3","3","Notification sent and delivery status visible"
"fundo-learning","Fundo / Learning Journey","TRAINING_OR_COMPETENCY","backend-ready-but-frontend-incomplete","partial","","mobile learning shell shallow","learning-service; varapi-service; experience-bff","54","2","Provider enrols, completes module, CPD reflected"
"reporting-dashboard","Data / Report / Dashboard Journey","ADMINISTRATIVE_HEALTH","transaction-complete","partial","NDR/warehouse depth","","reporting-service; data-warehouse-service; surveillance-service; experience-bff","18","3","Analyst runs report with correct scope and audit"
"registry-administration","Registry Administration","ADMINISTRATIVE_HEALTH","transaction-complete","partial","council import queue thin","","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","34","1","Registry admin reconciles record with full audit"
"integration-sync-replay","Integration / Sync / Replay","ADMINISTRATIVE_HEALTH","transaction-complete","partial","adapter template admin thin","","integration-hub; connector-fhir-adapter; fhir-gateway-service; offline-sync-service; experience-bff","6","0","Integration message processed or dead-lettered with replay"
"device-system-event","Device / System Event Journey","ADMINISTRATIVE_HEALTH","transaction-complete","partial","device admin UX backend-only","ops admin surface only (by design)","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","48","0","Device event ingested and auditable"
"health-id-issuance","Health ID Issuance & Card Ops","ADMINISTRATIVE_HEALTH","transaction-complete","partial","pickup verify BFF routes missing","","vito-service; card-print-agent; share-slip-service; experience-bff","16","1","Health ID issued, card printed, pickup verified"
"marketplace-order","Marketplace Order","MARKETPLACE","backend-partial","partial","order list routes 501 on some paths","booking list unavailable","msika-flow-service; msika-service; mushe-wallet-service; experience-bff","12","7","Citizen places order and tracks fulfilment"
"wellness-journey","Wellness & Lifestyle Journey","WELLNESS","transaction-complete","partial","","","wellness-service; simba-service; guidance-service; experience-bff","13","1","Citizen tracks wellness activity with real backend"
"social-community","Social / Community / Timeline","WELLNESS","backend-ready-but-frontend-incomplete","wired","","public health alerts placeholder in rail","community-service; llm-orchestration-service; experience-bff","6","11","Citizen posts to feed with real BFF backing"
"public-health-outreach","Public Health / CHW Outreach","COMMUNITY_OUTREACH","mobile-missing","partial","","field ops mobile thinner than web","community-service; surveillance-service; campaigns-service; indawo-service; experience-bff","5","6","CHW records outreach visit on mobile"
"crvs-ubomi","Civil Registration (UBOMI / CRVS)","ADMINISTRATIVE_HEALTH","mobile-missing","partial","","mobile CRVS parity missing","ubomi-service; vito-service; experience-bff","20","0","Vital event registered with certificate issuance"
"coverage-enrollment","Coverage Enrollment","ADMINISTRATIVE_HEALTH","transaction-complete","partial","contracting surfaces bounded","intelligence surfaces partial","coverage-service; experience-bff","1","1","Citizen enrolls in coverage plan"
"wallet-payment","Wallet Payment","MARKETPLACE","transaction-complete","wired","","","mushe-wallet-service; mushex-service; experience-bff","6","1","Citizen pays from wallet with typed fail-close"
"offline-clinical-queue","Offline Clinical Queue","FACILITY_WALK_IN","backend-partial","partial","federation depth","offline conflict UX","offline-sync-service; offline-edge-service; pct-service; experience-bff","25","4","Provider works offline, syncs without data loss"
"emergency-encounter","Emergency / ED Encounter","EMERGENCY","transaction-complete","partial","","","pct-service; butano-service; inpatient-service; tshepo-authz-service; experience-bff","36","2","Emergency encounter with break-glass audit if used"
"core-transaction-orchestration","Core Transaction Orchestration Shell","FACILITY_WALK_IN","transaction-complete","wired","","","experience-bff; workflow-service; pct-service; costing-engine-service","4","0","Core transaction shell shows live timeline from BFF"
"surveillance-outbreak","Surveillance / Outbreak Response","COMMUNITY_OUTREACH","backend-ready-but-frontend-incomplete","partial","","Ndila map dashboards incomplete","surveillance-service; campaigns-service; ndila-service; experience-bff","6","2","Outbreak signal investigated with campaign linkage"
"ai-guidance-nompilo","AI Guidance / Nompilo Assist","ADMINISTRATIVE_HEALTH","backend-ready-but-frontend-incomplete","partial","","route context not always passed to guidance BFF","guidance-service; llm-orchestration-service; search-service; experience-bff","21","2","Nompilo explains next step with route context"
"credential-verification","Credential Verification","ADMINISTRATIVE_HEALTH","transaction-complete","partial","","","credential-verification-service; varapi-service; experience-bff","1","0","Credential verified and reflected in provider standing"
"provider-registry-onboarding","Provider Registry Onboarding","ADMINISTRATIVE_HEALTH","backend-partial","partial","council import queue","reconciliation queue thin","varapi-service; credential-verification-service; experience-bff","19","4","Provider onboarded with valid licensure"
"citizen-monitoring","Citizen Remote Monitoring","CHRONIC_CARE","transaction-complete","partial","","","wellness-service; iot-ingestion-service; notification-service; experience-bff","6","1","Citizen records monitoring obs visible to care team"
"chronic-care","Chronic Care Management","CHRONIC_CARE","transaction-complete","partial","","","pct-service; pharmacy-service; butano-service; wellness-service; experience-bff","40","1","Chronic care plan active with follow-up scheduling"
"blood-donation","Blood Donation & Donor Engagement","BLOOD_DONATION","transaction-complete","wired","","","madi-service; ndila-service; llm-orchestration-service; experience-bff","8","11","Citizen registers as donor, completes pre-screening, and books a drive"
"blood-order","Blood Order & Crossmatch","BLOOD_ORDER","transaction-complete","wired","","","madi-service; oros-service; experience-bff","2","12","Provider creates blood order and issues matched unit"
"transfusion-episode","Transfusion Episode & Bedside Verify","TRANSFUSION","transaction-complete","wired","","","madi-service; vito-service; experience-bff","2","11","Provider pre-verifies patient and unit before transfusion observations"
"haemovigilance-report","Haemovigilance Report & Investigation","HAEMOVIGILANCE","transaction-complete","wired","","national dashboard web-only by policy","madi-service; nhume-service; surveillance-service; experience-bff","2","11","Adverse reaction reported and visible on facility and national dashboards"
